GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.Boundary,RestResourcePattern,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.Boundary,TerritorioBean,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.Boundary,SucursalBean,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.Boundary,DireccionBean,7,0,0,0,3,0,3,0,3,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.Boundary,ComercioTipoComercioBean,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProducto,111,0,12,0,39,0,27,0,21,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ComercioTipoComercioPK_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Direccion,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Producto,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProductoTipoComercio,100,0,12,0,33,0,22,0,16,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Entrega,104,0,12,0,36,0,25,0,19,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,EntregaHistorial_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenDetallePK,74,0,6,0,25,0,12,0,9,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoComercioPK,72,0,6,0,25,0,12,0,9,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Cliente,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,MenuComercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProductoTipoComercioPK,70,0,6,0,25,0,12,0,9,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoTipoProducto,100,0,12,0,33,0,22,0,16,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,EntregaHistorial,104,0,12,0,36,0,25,0,19,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Repartidor_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenDetallePK_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoComercioPK_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProductoTipoComercioPK_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Vehiculo,104,0,12,0,36,0,25,0,19,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ComercioTipoComercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoTipoProducto_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenDetalle,107,0,12,0,36,0,24,0,18,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenDetalle_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Sucursal,106,0,12,0,37,0,24,0,18,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenEstado,90,0,12,0,30,0,21,0,15,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Territorio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Factura,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Orden,125,0,12,0,45,0,31,0,25,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Entrega_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoComercio,107,0,12,0,36,0,24,0,18,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Cliente_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoTipoProductoPK,70,0,6,0,25,0,12,0,9,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoComercio,111,0,12,0,39,0,27,0,21,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProducto_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Orden_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,MenuComercio,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoComercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Factura_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,OrdenEstado_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Direccion_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Vehiculo_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Comercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,TipoProductoTipoComercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Pago_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Territorio,104,0,12,0,36,0,25,0,19,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Producto_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ComercioTipoComercio,100,0,12,0,33,0,22,0,16,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ComercioTipoComercioPK,70,0,6,0,25,0,12,0,9,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Repartidor,111,0,12,0,39,0,27,0,21,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Comercio,84,20,8,4,30,6,23,2,17,2
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoTipoProductoPK_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Pago,97,0,12,0,33,0,23,0,17,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,Sucursal_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.entity,ProductoComercio_,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.control,AbstractDataAccess,13,55,0,8,4,21,0,7,0,3
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.control,ApplicationConfig,3,0,0,0,1,0,1,0,1,0
Delivery,tpi135_2023.ingenieria.occ.ues.edu.sv.Delivery.control,ComercioBean,0,7,0,0,0,3,0,2,0,2
